[19:53:47.000][I][app:206]: ESPHome version 2026.1.4 compiled on 2026-03-21 19:45:27 +0100
[19:53:47.041][I][app:213]: ESP32 Chip: ESP32 r3.1, 2 core(s)
[19:55:31.865][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:32.061][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:32.124][I][mspa:118]: [CLAV->SPA] A5 02 00 A7 [Filtration OFF]
[19:55:32.841][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:33.075][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:33.672][I][mspa:118]: [CLAV->SPA] A5 03 00 A8 [Bulles lvl=0]
[19:55:33.874][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:34.076][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:34.853][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:35.070][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:35.886][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:36.123][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:36.679][I][mspa:118]: [CLAV->SPA] A5 01 00 A6 [Chauffage OFF]
[19:55:36.829][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:37.084][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:37.841][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:38.144][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:38.926][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:55:39.278][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:55:39.850][I][mspa:118]: [CLAV->SPA] A5 19 00 BE [UVC OFF]
[19:55:39.964][I][mspa:118]: [CLAV->SPA] A5 15 00 BA
